
3555181.000000,4775685.000000,2294018.500000
3551120.750000,4778700.500000,2294026.750000
3547370.500000,4781481.500000,2294035.000000
3543304.750000,4784490.500000,2294043.250000
3539237.250000,4787496.500000,2294051.750000
3535793.250000,4790037.000000,2294060.000000
3531721.000000,4793036.000000,2294068.000000
3527646.000000,4796032.000000,2294076.500000
3523483.750000,4799086.500000,2294084.250000
3519718.250000,4801845.500000,2294093.000000
3515950.000000,4804601.500000,2294101.250000
3511864.750000,4807583.500000,2294109.250000
3508092.250000,4810333.500000,2294117.500000
3504002.750000,4813309.500000,2294126.000000
3499910.250000,4816282.500000,2294134.500000
3495815.500000,4819251.500000,2294142.750000
3491718.250000,4822217.000000,2294150.750000

3710512.250000,-4483698.000000,2612855.750000
3714114.000000,-4480410.500000,2613373.500000
3717712.750000,-4477120.500000,2613891.750000
3721312.750000,-4473823.500000,2614409.250000
3724903.750000,-4470530.000000,2614927.500000
3728492.750000,-4467232.000000,2615445.500000
3732083.000000,-4463928.000000,2615963.250000
3735669.500000,-4460621.000000,2616481.500000
3739253.250000,-4457311.500000,2616999.000000
3742828.750000,-4454002.500000,2617516.750000
3746405.500000,-4450688.000000,2618034.500000
3749977.500000,-4447372.000000,2618552.500000
3753552.000000,-4444048.000000,2619070.250000
3757118.750000,-4440725.500000,2619588.000000
3760686.750000,-4437397.000000,2620105.500000
3764242.250000,-4434073.000000,2620623.250000
3767808.500000,-4430735.000000,2621140.750000

62092.496094,-134315.015625,6360042.500000
65340.535156,-130623.148438,6360086.500000
68470.664063,-126832.546875,6360130.000000
71485.257813,-122943.523438,6360173.500000
74368.296875,-118964.218750,6360215.500000
77127.507813,-114890.015625,6360257.000000
79747.515625,-110730.765625,6360298.000000
82229.070313,-106485.234375,6360338.500000
84566.796875,-102159.234375,6360379.000000
86755.500000,-97755.937500,6360418.000000
88791.242188,-93277.593750,6360457.500000
90664.937500,-88734.906250,6360495.500000
92380.226563,-84123.023438,6360533.000000
93923.257813,-79455.429688,6360570.500000
95295.726563,-74733.921875,6360607.000000
96489.507813,-69963.523438,6360643.000000
97501.875000,-65151.636719,6360678.000000

-3838030.500000,4786322.000000,1756220.375000
-3837583.000000,4784958.000000,1760876.375000
-3837134.000000,4783591.500000,1765531.875000
-3836683.000000,4782221.000000,1770186.125000
-3836229.750000,4780848.000000,1774839.125000
-3835775.250000,4779471.500000,1779491.375000
-3835315.750000,4778094.000000,1784142.375000
-3834855.500000,4776713.000000,1788792.750000
-3834393.750000,4775328.500000,1793441.875000
-3833928.250000,4773942.000000,1798089.875000
-3833460.250000,4772553.500000,1802737.125000
-3832991.500000,4771161.000000,1807383.000000
-3832518.750000,4769767.000000,1812028.000000
-3832045.000000,4768368.500000,1816672.125000
-3831567.500000,4766969.000000,1821315.000000
-3831088.750000,4765566.500000,1825957.000000
